,user,Date Created,Tweet
86,ChibuikeAmaechi,2019-12-05 09:47:23+00:00,"I have never requested for or collected one kobo as pension from R/State Govt. If offered, I will politely decline &amp; request that the money should be given to Rivers State pensioners. I do not believe that I should receive pension as ex-gov of R/State while serving as a minister https://t.co/dDfbQMdcRi"
87,ChibuikeAmaechi,2019-12-02 17:08:11+00:00,Note that all of these projects are funded by the Chinese company as part of benefits accruing to Nigeria through our partnership with them on the modernisation of Railway infrastructure in the country.
88,ChibuikeAmaechi,2019-12-02 17:08:11+00:00,"2) The Wagon Assembly Plant in Kajola, Ogun State which will enable us produce Railway rolling stocks locally and even export to other African countries; and (3) The University of Transportation where Railway Engineering and general transportation sciences will be taught."
89,ChibuikeAmaechi,2019-12-02 17:08:10+00:00,"1) Training of our people to localise rail technology and maintenance of our rail infrastructure. To that effect, 60 of our children are now in their 2nd year in China studying Railway Technology. Another 90 are going to join them this week."
90,ChibuikeAmaechi,2019-12-02 17:08:09+00:00,"Three projects I concieved and insisted that our partners, CCECC should embark on as part of their corporate social responsibility even before I signed our contracts with them include: https://t.co/r0A5khDE37"
91,ChibuikeAmaechi,2019-12-01 18:09:45+00:00,"@NGRPresident @MBuhari will tomorrow, December 2, 2019 perform the ground breaking for the University of Transportation in Daura, Katsina State. A project derived from our partnership with our Chinese rail contractors, CCECC."
92,ChibuikeAmaechi,2019-11-29 23:51:11+00:00,Take-off point is Iju.
93,ChibuikeAmaechi,2019-11-29 23:36:12+00:00,"Our free rides on the Lagos-Ibadan standard guage rail line will begin today and run through March, 2020. Commuters on that route can take advantage of it and save on transportation during the festive season &amp; beyond. Let’s ride to the #NextLevel https://t.co/zJ0FkMPt72"
94,ChibuikeAmaechi,2019-11-25 12:55:35+00:00,"At the 2019 Future Awards Africa last night, I took note of the achievements of our young people and their drive towards change and growth in Nigeria and the entire continent. #NigeriasNewTribe #TFAA2019 https://t.co/zyAGa5obSF"
95,ChibuikeAmaechi,2019-11-23 20:38:57+00:00,The next phase will be the Ibadan to Kano stretch. #NextLevelThings
96,ChibuikeAmaechi,2019-11-23 20:32:29+00:00,"Today we inspected the Lagos-Ibadan Rail project and I can tell you there's a lot of progress on the tracks. By December 20th, the focus will no longer be on the tracks, It'll be on the completion and commissioning of the Stations and by April 2020 we'll be done with this phase. https://t.co/bNsdyEWlqo"
97,ChibuikeAmaechi,2019-11-23 14:36:18+00:00,"Safety of people around rail lines across the country is important to us. This is why I have directed that buildings encroaching on the rail perimeter at Km 8.9 Ilupeju, Mushin area of the Lagos-Ibadan route be bought off, demolished &amp; fenced out. We need space for the power line https://t.co/mOFyp6RMPD"
98,ChibuikeAmaechi,2019-11-15 15:10:59+00:00,"Yesterday in Uvwie, Delta State with my brother @fkeyamo, I told my South-South brothers to work together to ensure development in the area. Stop the harrassment at project sites! By February we'll deliver Itakpe-Warri. The rails are ready and the coaches will soon arrive. https://t.co/kxG3d02Gfq"
99,ChibuikeAmaechi,2019-11-09 11:15:25+00:00,Enroute Kajola for the ground breaking ceremony of the Wagon Assembly Plant. Vice Pres. @ProfOsinbajo is impressed with the quality of work being done on the tracks and enjoying the comfort on the train. We're on to the #NextLevel https://t.co/0iE886lcTr
100,ChibuikeAmaechi,2019-11-07 11:28:11+00:00,We also have a resident understudy programme for Engineers and Technicians from Ministry of Transport and the Nigeria Railway Corporation to acquire practical skills for maintenance of Railway rolling stocks. The programme is for 3 months at various production facilities in China
